poduct_category,Product Name,Link,Image,Price,product_description,tab_discription
rice,Patanjali Brown Basmati Rice Jar,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-brown-basmati-rice-jar/901,https://www.patanjaliayurved.net/assets/product_images/400x500/1689747959BrownBasmatiRiceJar1kg1.png,180,unique process produces brown basmati rice removes outermost layer hull rice kernel damaging nutritional value patanjali brown basmati rice highly famous great fragrance great taste,benefitsingredientshow useother product infostrong aromaimproves nervous system healthgood source energyprevents obesitygood source protein magnesiumlight weight foodbrown riceopen pan bring water rolling boil add rice stir gently cook uncovered medium heat till rice drain extra waterclose pan bring water boil cover pan lid let simmer minutes remove heat let stand minutes servingmicro waveput soaked rice water bowl stir covered pierce cling film let stand covered minutes remove oven let stand covered for minutes serving watt microwave oven grams rice timeelectric cookerput soaked rice cooker add measured water switch cooker cooker automatically switch cook keep warm mode allow rice tosteam warm mode servingbest months packaging
rice,Patanjali Dhanshree Basmati Rice,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-dhanshree-basmati-rice/871,https://www.patanjaliayurved.net/assets/product_images/400x500/1689748070DhanshreeBasmatiRice1kg1.png,170,patanjali dhanashree basmati rice processed selected premium quality paddy procured rice bowl states bharat like punjab haryana uttar pradesh madhya pradesh uttarakhand patanjali rice processed stateoftheart gmp plants ensure exquisite quality retention nutritive values effort ensure product reaches pristine condition patanjali dhanashree basmati rice grains long slender grain elongates double originalsize cooking unique qualities coupled tempting taste patanjali basmati rice delicacy world meal patanjali rice special tantalizing flavour magical aroma delicious fluffy texture,benefitsingredientshow useother product info light weight aromatic unique texture coupled tempting taste low cost compared brands high volume expansion cooking long length quick cook easy digestibility longer shelflife biryani fried rice aromatic fragrance nonsticky cooking soft non sticky rice cookingbasmati rice oryza sativaopen pan boiling water open bowl add rice slowly gentle stirring cook minutes medium heat drain extra boiling waterclose pan water rice pan tighten lid simmer minutes remove heat allow pan stand covered minutesmicrowave soaked rice add measured quantity water bowl stir select cooking option timings available oven remove oven let stand covered minutes serving  watt oven use g basmati rice timeautomatic electric rice cooker soaked rice cooker add measured quantity water switch cooker cooking cooker automatically switch cook mode warm mode allow rice steam mode servingbest before months manufacturing date
rice,Patanjali Samriddhi Basmati Rice,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-samriddhi-basmati-rice/1331,https://www.patanjaliayurved.net/assets/product_images/400x500/1689675690SamridhiRice5kg1.png,845,patanjali samridhhi basmati rice processed select premium quality paddy procured foothills himalayas patanjali samridhhi basmati rice grains long slender grain elongates double original size cooking,benefitsingredientshow useother product info rich aroma unique texture authentic flavorbasmati ricefor best results soak patanjali sampoorn basmati rice water min cookingput boiling water open bowladd rice slowly gentle stirring cook minutes medium heatdrain extra boiling waterbest before months manufacturing date
rice,Patanjali Royal Sona Masoori Rice,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-royal-sona-masoori-rice/1287,https://www.patanjaliayurved.net/assets/product_images/400x500/16896764151.png,128,patanjali royal sona masoori rice processed selected premium qualitypaddy procured rich belt telangana produces best quality royal sona masoori crop patanjali royal sona masoori rice processed state art plants ensure exquisite quality retention nutritive values effort ensure product reaches pristine condition patanjali royal sona masoori rice light weight aromatic completes search perfect rice patanjali royal sona masoori rice ideal rice sweet pongal biryani idlis fried rice,benefitsingredientshow useother product info rich aroma unique texture authentic flavorbasmati riceopen pan bring water rolling boil add rice stir gently cook uncovered medium heat till rice drain extra waterclose pan bring water boil cover pan lid let simmer minutes remove heat let stand minutes servingmicro wave soaked rice water bowl stir covered pierce cling film let stand covered minutes remove oven let stand covered minutes serving watt microwave oven grams rice timeelectric cooker soaked rice cooker add measured water switch cooker cooker automatically switch cook keep warm mode allow rice steam warm mode servingbest before months manufacturing date
rice,Patanjali Shakti Xxl Basmati Rice,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-shakti-xxl-basmati-rice/869,https://www.patanjaliayurved.net/assets/product_images/400x500/1689748103ShaktiXXLBasmatiRice1kg1-Copy.png,165,patanjali shakti rice xxl processed select premium quality paddy procured foothills himalayas patanjali grains long slender grain elongates double original size cooking,benefitsingredientshow useother product info delicious unique texture aroma soaked properly cooking grains double size wont break wont stick together low cost compared brands biryani fried rice high volume expansion cooking easy digestibility longer shelflife aromatic fragrance nonsticky cooking excessive elongation cooking soft fluffy texture cooked ricebasmati rice oryza sativafor best results soak patanjali basmati rice water min cooking boiling water open bowl add rice slowly gentle stirring cook minutes medium heat drain extra boiling waterbest before months manufacturing date
rice,Patanjali Brown Rice- Sona Masoori,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-brown-rice-sona-masoori/1270,https://www.patanjaliayurved.net/assets/product_images/400x500/1689676518BrownBasmatiRice1kg1.png,110,patanjali brown rice sona masoori rice highly famous great fragrance great taste patanjali brown rice helps lowering cholesterol keeps blood sugar control provides dietary fibre,benefitsingredientshow useother product infostrong aromaimproves nervous system healthgood source energyprevents obesitygood source protein magnesiumbrown rice sona masooriopen pan bring water rolling boil add rice stir gently cook uncovered medium heat till rice drain extra waterclose pan bring water boil cover pan lid let simmer minutes remove heat let stand minutes servingmicro waveput soaked rice water bowl stir covered pierce cling film let stand covered minutes remove oven let stand covered for minutes serving watt microwave oven grams rice timeelectric cookerput soaked rice cooker add measured water switch cooker cooker automatically switch cook keep warm mode allow rice tosteam warm mode servingbest before months manufacturing date
rice,Patanjali Shakti Rice XXL Mini Dubar,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-shakti-rice-xxl-mini-dubar/3313,https://www.patanjaliayurved.net/assets/product_images/400x500/1689665772ShaktiMiniDubar5kg1(1).png,530,patanjali brings worldrenowned indian basmati rice highly prized delicious unique texture aroma grain individually sorted colour sorter machines meal special occasion,benefitsingredientshow useother product info light weight aromatic unique texture coupled tempting taste low cost compared brands aromatic fragrance nonsticky cooking soaked properly cooking grains double size wont break soft non sticky rice cookingbasmati ricefor best results soak patanjali basmati rice water min cookingput boiling water open bowl add rice slowly gentle stirringcook minutes medium heatdrain extra boiling waterbest before months manufacturing date
rice,Patanjali Shakti Rice XXL Mini Mogra,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-shakti-rice-xxl-mini-mogra/3314,https://www.patanjaliayurved.net/assets/product_images/400x500/16896655131.png,390,patanjali shakti mini mogra basmati rice processed selected premium quality paddy procured rice bowl states bharat like punjab haryana uttar pradesh madhya pradesh uttarakhandpatanjali rice processed state art gmp plants ensure exquisite quality retention nutritive values effort ensure product reaches pristine conditionpatanjali shakti mini mogra basmati rice grains long slender grain elongates double original size cookingthese unique qualities coupled tempting taste patanjali basmati rice delicacy world overevery meal patanjali rice special tantalizing flavour magical aroma delicious fluffy texture,benefitsingredientshow useother product infoimproves nervous system healthgood source energyprevents obesitygood source proteinlight weight foodbasmati riceopen pan boiling water open bowl add rice slowly gentle stirring cook minutes medium heat drain extra boiling waterclosed pan water rice pan tighten lid simmer minutes remove heat allow pan stand covered minutesmicrowave soaked rice add measured quantity water bowl stir select cooking option timings available oven remove oven let stand covered minutes serving  watt oven use g basmati rice timeautomatic electric rice cooker soaked rice cooker add measured quantity water switch cooker cooking cooker automatically switch cook mode warm mode allow rice steam mode servingbest before months manufacturing date
rice,Patanjali Sampoorn Traditional Basmati Rice,https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-sampoorn-traditional-basmati-rice/863,https://www.patanjaliayurved.net/assets/product_images/400x500/1689748206Sampoorn1kgrice1.png,170,patanjali sampoorn traditional basmati rice processed selected premium quality paddy procured foothills himalayas rice bowl states bharat like punjab haryana uttar pradesh madhya pradesh uttarakhandpatanjali rice processed state art gmp plants ensure exquisite quality retention nutritive values effort ensure product reaches pristine condition patanjali sampoorn traditional basmati rice grains long slender grain elongates double original size cookingthese unique qualities coupled tempting taste patanjali basmati rice delicacy world meal patanjali rice special tantalizing flavour magical aroma delicious fluffy texture,benefitsingredientshow useother product info delicious unique texture aroma soaked properly cooking grains double size wont break wont stick together low cost compared brands biryani fried rice high volume expansion cooking easy digestibility longer shelflife aromatic fragrance nonsticky cooking excessive elongation cooking soft fluffy texture cooked ricebasmati rice oryza salivaopen pan boiling water open bowl add rice slowly gentle stirring cook minutes medium heat drain extra boiling waterclosed pan water rice pan tighten lid simmer minutes remove heat allow pan stand covered minutesmicrowave soaked rice add measured quantity water bowl stir select cooking option timings available oven remove oven let stand covered minutes serving  watt oven use g basmati rice timeautomatic electric rice cooker soaked rice cooker add measured quantity water switch cooker cooking cooker automatically switch cook mode warm mode allow rice steam mode servingbest before months manufacturing date
rice,"Patanjali Rice and Pulses Combo- Arhar dal 1kg, malka masur 1kg + sona masuri rice 5 kg- Rs 44 Off",https://www.patanjaliayurved.net/product/natural-food-products/rice/patanjali-rice-and-pulses-combo-arhar-dal-1kg-malka-masur-1kg-sona-masuri-rice-5-kg-rs-44-off/3382,https://www.patanjaliayurved.net/assets/product_images/400x500/16896631931.png,786,rice pulses combo arhar dal kg malka masur kg  sona masuri rice kgget rs wallet,product infobest days manufacturing date
